workerid,proliferate.condition,error
1686,condition1,
1701,condition1,
1613,condition1,
1604,condition1,
1733,condition1,
1745,condition1,
1606,condition1,
1704,condition1,
1683,condition1,
1717,condition1,
1644,condition1,
1721,condition1,
1714,condition1,
1741,condition1,
1738,condition1,
1678,condition1,
1749,condition1,
1739,condition1,
1602,condition1,
1622,condition1,
1642,condition1,
1693,condition1,
1732,condition1,
1718,condition1,
1703,condition1,
1641,condition1,
1600,condition1,
1694,condition1,
1691,condition1,
1628,condition1,
1669,condition1,
1603,condition1,
1639,condition1,
1624,condition1,
1705,condition1,
1684,condition1,
1637,condition1,
1605,condition1,
1692,condition1,
1747,condition1,
1695,condition1,
1668,condition1,
1700,condition1,
1712,condition1,
1743,condition1,
1670,condition1,
1647,condition1,
1625,condition1,
1664,condition1,
1645,condition1,
1722,condition1,
1724,condition1,
1709,condition1,
1698,condition1,
1607,condition1,
1634,condition1,
1720,condition1,
1716,condition1,
1675,condition1,
1673,condition1,
1630,condition1,
1746,condition1,
1690,condition1,
1737,condition1,
1671,condition1,
1626,condition1,
1657,condition1,
1615,condition1,
1676,condition1,
1649,condition1,
1728,condition1,
1699,condition1,
1682,condition1,
1677,condition1,
1725,condition1,
1633,condition1,
1660,condition1,
1648,condition1,
1713,condition1,
1598,condition1,
1599,condition1,
1710,condition1,
1611,condition1,
1627,condition1,
1708,condition1,
1632,condition1,
1612,condition1,
1715,condition1,
1659,condition1,
1730,condition1,
1661,condition1,
1652,condition1,
1620,condition1,
1651,condition1,
1656,condition1,
1727,condition1,
1711,condition1,
1665,condition1,
1706,condition1,
1608,condition1,
1679,condition1,
1707,condition1,
1617,condition1,
1596,condition1,
1672,condition1,
1740,condition1,
1697,condition1,
1719,condition1,
1653,condition1,
1735,condition1,
1729,condition1,
1685,condition1,
1643,condition1,
1667,condition1,
1736,condition1,
1631,condition1,
1666,condition1,
1674,condition1,
1696,condition1,
1629,condition1,
1680,condition1,
1731,condition1,
1618,condition1,
1726,condition1,
1601,condition1,
1619,condition1,
1650,condition1,
1734,condition1,
1662,condition1,
1614,condition1,
1688,condition1,
1623,condition1,
1681,condition1,
1748,condition1,
1687,condition1,
1654,condition1,
1744,condition1,
1658,condition1,
1689,condition1,
1635,condition1,
1597,condition1,
1610,condition1,
1636,condition1,
1640,condition1,
1609,condition1,
1638,condition1,
1723,condition1,
1663,condition1,
1616,condition1,
1646,condition1,
