workerid,proliferate.condition,time_in_minutes,error
1686,condition1,3.32075,
1701,condition1,8.693833333333334,
1613,condition1,6.871666666666667,
1604,condition1,6.182716666666667,
1733,condition1,10.0311,
1745,condition1,5.43005,
1606,condition1,5.395933333333334,
1704,condition1,2.9628833333333335,
1683,condition1,3.4739166666666668,
1717,condition1,5.6558,
1644,condition1,7.226916666666667,
1721,condition1,7.72995,
1714,condition1,7.819433333333333,
1741,condition1,4.7376,
1738,condition1,7.784716666666666,
1678,condition1,4.1535,
1749,condition1,4.318883333333333,
1739,condition1,7.990883333333334,
1602,condition1,10.837466666666666,
1622,condition1,4.364633333333333,
1642,condition1,4.31945,
1693,condition1,23.251966666666668,
1732,condition1,8.84965,
1718,condition1,5.77725,
1703,condition1,2.6891666666666665,
1641,condition1,6.81515,
1600,condition1,4.222933333333334,
1694,condition1,4.867683333333333,
1691,condition1,5.376733333333333,
1628,condition1,7.75655,
1669,condition1,10.54685,
1603,condition1,12.87225,
1639,condition1,6.03255,
1624,condition1,7.047266666666666,
1705,condition1,5.028733333333333,
1684,condition1,4.563116666666667,
1637,condition1,4.8586833333333335,
1605,condition1,6.198833333333333,
1692,condition1,5.118566666666666,
1747,condition1,4.483133333333333,
1695,condition1,8.741416666666666,
1668,condition1,5.88245,
1700,condition1,7.562966666666667,
1712,condition1,12.131666666666666,
1743,condition1,3.96775,
1670,condition1,8.646533333333334,
1647,condition1,5.7195833333333335,
1625,condition1,7.106716666666666,
1664,condition1,8.006683333333333,
1645,condition1,4.754083333333333,
1722,condition1,8.399933333333333,
1724,condition1,6.350666666666666,
1709,condition1,4.421916666666666,
1698,condition1,6.469416666666667,
1607,condition1,11.616766666666669,
1634,condition1,3.68175,
1720,condition1,8.5004,
1716,condition1,8.207466666666667,
1675,condition1,3.4211,
1673,condition1,8.847866666666667,
1630,condition1,5.579733333333333,
1746,condition1,5.641783333333334,
1690,condition1,4.90975,
1737,condition1,3.139283333333333,
1671,condition1,2.8714166666666667,
1626,condition1,6.2988333333333335,
1657,condition1,8.6047,
1615,condition1,6.568416666666667,
1676,condition1,7.5013,
1649,condition1,7.194216666666667,
1728,condition1,5.9639,
1699,condition1,5.1677333333333335,
1682,condition1,11.66795,
1677,condition1,3.4563333333333333,
1725,condition1,3.424716666666667,
1633,condition1,2.474,
1660,condition1,4.4251,
1648,condition1,5.0811,
1713,condition1,9.04875,
1598,condition1,4.47935,
1599,condition1,10.250633333333331,
1710,condition1,4.900966666666666,
1611,condition1,5.5934333333333335,
1627,condition1,4.544016666666667,
1708,condition1,7.56595,
1632,condition1,5.641166666666667,
1612,condition1,4.0754166666666665,
1715,condition1,2.361283333333333,
1659,condition1,11.01605,
1730,condition1,6.961483333333334,
1661,condition1,8.829766666666666,
1652,condition1,6.665283333333333,
1620,condition1,6.8002666666666665,
1651,condition1,5.438783333333333,
1656,condition1,17.868233333333333,
1727,condition1,4.46575,
1711,condition1,5.370033333333334,
1665,condition1,8.591733333333334,
1706,condition1,15.4242,
1608,condition1,5.436216666666667,
1679,condition1,6.193033333333333,
1707,condition1,8.006216666666667,
1617,condition1,6.741716666666667,
1596,condition1,6.918516666666667,
1672,condition1,3.85705,
1740,condition1,11.534516666666669,
1697,condition1,5.2048,
1719,condition1,5.105583333333334,
1653,condition1,12.238033333333334,
1735,condition1,8.388616666666667,
1729,condition1,5.9630833333333335,
1685,condition1,3.4177333333333335,
1643,condition1,8.794816666666666,
1667,condition1,6.312866666666666,
1736,condition1,20.0599,
1631,condition1,7.1961,
1666,condition1,4.960683333333333,
1674,condition1,20.8501,
1696,condition1,3.6984,
1629,condition1,12.97455,
1680,condition1,4.02315,
1731,condition1,12.616483333333331,
1618,condition1,7.593916666666667,
1726,condition1,4.0892333333333335,
1601,condition1,8.34035,
1619,condition1,8.584733333333334,
1650,condition1,4.192266666666667,
1734,condition1,4.843916666666667,
1662,condition1,5.32975,
1614,condition1,3.15125,
1688,condition1,6.099366666666667,
1623,condition1,7.288316666666667,
1681,condition1,3.2230666666666665,
1748,condition1,5.43005,
1687,condition1,3.867966666666667,
1654,condition1,6.581366666666667,
1744,condition1,3.0484833333333334,
1658,condition1,6.0193666666666665,
1689,condition1,7.192233333333333,
1635,condition1,11.293316666666666,
1597,condition1,7.576683333333333,
1610,condition1,5.805866666666667,
1636,condition1,7.418716666666667,
1640,condition1,6.975,
1609,condition1,21.731833333333334,
1638,condition1,4.8593166666666665,
1723,condition1,3.77275,
1663,condition1,3.2921,
1616,condition1,6.010316666666666,
1646,condition1,4.44415,
