Word,Frequency,Surprisal
surprised,1.1138008736441296e-5,11.40514708841559
thrilled,6.115107992978719e-7,14.307333221635188
excited,3.3425187998897326e-6,12.608785903486584
joke,6.114281397082739e-9,18.912638589498822
fascinated,1.3979273744073812e-7,15.783104958133197
celebrate,3.1755632615008704e-8,17.265195722145027
amused,1.7274332170652913e-7,15.571459033763531
enjoy,8.427402549497296e-7,13.98660704629307
elaborate,1.624414517135402e-8,17.93553329024072
charmed,3.8935408501224774e-8,17.06136175609566
fantasize,6.2867291496964975e-9,18.88482490948249
love,5.280126645110685e-7,14.454145567711388
think,2.372817809686033e-4,8.346262173834937
feel,5.0128685799585454e-5,9.900917142879592
pray,6.705550453099723e-7,14.215160041680907
envision,4.079264289783184e-7,14.712178999933633
write,1.7196741978203655e-6,13.273375704953002
promised,2.6035020852812514e-9,19.76640834237287
irritated,1.936115425331579e-7,15.457412043358657
cringe,0,22
scream,1.6796914023035968e-8,17.90207065651511
aggravated,5.093909240932541e-8,16.79263518441041
argue,4.251068472496595e-6,12.368340201331648
pained,3.2992654630129414e-8,17.226980887221863
embarrassed,7.101647365170992e-7,14.157768870560764
offended,3.401025358413219e-7,14.89401868879722
troubled,6.052228810966314e-7,14.31766904825081
tortured,1.8932856472773268e-8,17.78236698650178
insulted,5.790455711690832e-8,16.664469748782317
disgusted,2.3316770987317552e-7,15.271507857438184
weep,1.1028208909531106e-8,18.322809400408694
distressed,6.445788930619011e-7,14.254668612342721
resent,1.3500158321167804e-7,15.817979331082837
ignore,1.6445478895426475e-7,15.620630143699996
gossip,0,22
whine,8.423422859433774e-9,18.59224957592498
shocked,1.6341075023943894e-6,13.324413772751553
anticipate,3.958829215042897e-6,12.439562229178726
alarmed,3.714623839722009e-7,14.805818232364164
expose,1.1186778179208572e-8,18.308533275721167
shout,2.6578611934442586e-8,17.443159007205427
testify,1.3480024052860883e-6,13.51688676113889
verify,2.772608325352815e-7,15.098307140116598
simulate,2.65737062760482e-9,19.745928688889993
squeal,0,22
express,2.1199161268040442e-7,15.366719125885309
require,9.166881281831624e-6,11.599913429670478
bet,6.513003818337335e-8,16.546879978124288
confess,3.0533844674319823e-7,15.00184501410508
tweet,0,22
murmur,2.9695824725154786e-9,19.634844475658948
suppose,1.0380900104550133e-5,11.475542968711505
retract,1.1534004894223137e-8,18.277966217423202
dictate,1.5512815050668754e-7,15.679014284156883
compute,2.9539767666617497e-8,17.337528424917522
remark,1.1921371023088133e-7,15.94234807021386
